id,name,sport_id,championships,location_id,icon
1,Brest,2,{1},1,https://upload.wikimedia.org/wikipedia/fr/1/14/Logo_Stade_Brestois.svg
2,Clermont,2,{1},2,https://upload.wikimedia.org/wikipedia/fr/7/79/Logo_Clermont_Foot_63_2013.svg
3,Le Havre,2,{1},3,https://upload.wikimedia.org/wikipedia/fr/e/e6/Logo_Havre_AC_2012.svg
4,Lens,2,{1},4,https://upload.wikimedia.org/wikipedia/fr/c/c5/Logo_RC_Lens.svg
5,Lille,2,{1},5,https://upload.wikimedia.org/wikipedia/fr/6/62/Logo_LOSC_Lille_2018.svg
6,Lorient,2,{1},6,https://upload.wikimedia.org/wikipedia/fr/1/1d/Logo_FC_Lorient_Bretagne-Sud.svg
7,Lyon,2,{1},7,https://upload.wikimedia.org/wikipedia/fr/a/a5/Logo_Olympique_Lyonnais_-_2022.svg
8,Marseille,2,{1},8,https://upload.wikimedia.org/wikipedia/commons/d/d8/Olympique_Marseille_logo.svg
9,Metz,2,{1},9,https://upload.wikimedia.org/wikipedia/commons/4/4a/FC_Metz_2021_Logo.svg
10,Monaco,2,{1},10,https://upload.wikimedia.org/wikipedia/fr/5/58/Logo_AS_Monaco_FC_-_2021.svg
11,Montpellier,2,{1},11,https://upload.wikimedia.org/wikipedia/commons/9/99/Montpellier_H%C3%A9rault_Sport_Club_%28logo%2C_2000%29.svg
12,Nantes,2,{1},12,https://upload.wikimedia.org/wikipedia/commons/4/45/Logo_FC_Nantes_%28avec_fond%29_-_2019.svg
13,Nice,2,{1},13,https://upload.wikimedia.org/wikipedia/fr/b/b1/Logo_OGC_Nice_2013.svg
14,Paris Saint-Germain,2,{1},14,https://upload.wikimedia.org/wikipedia/fr/8/86/Paris_Saint-Germain_Logo.svg
15,Reims,2,{1},15,https://fr.wikipedia.org/wiki/Fichier:Logo_Stade_de_Reims_2020.svg
16,Rennes,2,{1},16,https://upload.wikimedia.org/wikipedia/fr/e/e9/Logo_Stade_Rennais_FC.svg
17,Strasbourg,2,{1},17,https://upload.wikimedia.org/wikipedia/fr/3/3c/Logo_RC_Strasbourg_-_1976.svg
18,Toulouse,2,{1},18,https://upload.wikimedia.org/wikipedia/fr/5/58/Toulouse_FC_logo_2021.svg
